"subscribers","video.views","video_views_for_the_last_30_days","subscribers_for_last_30_days"
0.872035116546229,2.88123573471962,3.4823459834974,3.46566932343864
-0.947864257115466,-0.178893637932328,0.29864880780967,0.240328617883963
0.218008779136558,-0.0771117737560341,-0.479051001038675,-0.328869242418094
0.0758291405692376,0.328296274195745,-0.0528578374571092,0.0505846141675795
-0.0663504979980823,-0.0184770980826949,-0.347516866227609,-0.328869242418094
0.644547694838517,0.054988646991123,-0.151463717785187,0.0505846141675795
-0.492889413700042,-0.652255002527473,-0.444193560898138,-0.328869242418094
-0.635069052267362,-0.849859559290368,-0.526677943962418,-0.708323099003768
0.559239911698125,1.15939612688421,-0.137703477717077,-0.328869242418094
-0.464453485986578,0.667390645678313,0.224339446666958,-0.328869242418094
2.81989616491851,-0.584732137911572,-0.136396254910607,0.240311542460416
-0.464453485986578,-0.399167585912661,-0.431418554018904,-0.328869242418094
-1.51658281138475,-0.865182065518147,-0.673495737035919,-0.70820167376966
-0.450235522129846,-0.353169461941947,-0.239017373290559,-0.328869242418094
-0.151658281138474,-1.11245910559579,-0.385541913631825,-0.328869242418094
