"target","subscribers","video.views","uploads","Country","channel_type","created_month","created_date","video_views_for_the_last_30_days","subscribers_for_last_30_days","created_year","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude","rgroup","predCountry","predchannel_type","predcreated_month","predcreated_date","predcreated_year","predsubscribers","predvideo.views","preduploads","predvideo_views_for_the_last_30_days","predsubscribers_for_last_30_days","predGross.tertiary.education.enrollment....","predPopulation","predUnemployment.rate","predUrban_population","predLatitude","predLongitude"
1,112000000,93247040539,1111,"United States","Entertainment","May","12",731674000,0,"2015",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.0677379600238055,0.526315681174103,0.472081368233545,0.549018678523492,0.434785514689649,0.479167134505044,0.741931607931753,0.919348101214119,0.532257570416229,0.935476873330698,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,75600000,20826993957,2281,"South Korea","Music","Dec","17",168290000,4e+05,"2012",94.3,51709098,4.15,42106719,35.907757,127.766922,0.76416074950248,0.615375865193187,0.633801886066835,0.386366255843654,0.500000101454698,0.510638106069586,0.741931607931753,0.8360600912014,0.540982961318284,0.983863189680435,0.93999123264288,0.423078433556597,0.400001451741784,0.428572588107754,0.475410265788702,0.522900682147689,0.426230744141516
1,71600000,30608119724,249,"Canada","Music","Jan","15",176326000,1e+05,"2007",68.9,36991981,5.56,30628482,56.130366,-106.346771,0.492617743322626,0.40001016132153,0.633801886066835,0.403510493208481,0.59999508141476,0.576920180892143,0.741931607931753,0.919348101214119,0.426230744141516,0.983863189680435,0.411167971854847,0.370969849250442,0.529411356059126,0.541665832448837,0.500000023872834,0.389832403236837,0.4
1,57600000,25307753534,283775,"India","News","Aug","27",461148000,5e+05,"2009",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.567517535295337,0.634781450799355,0.789458534991665,0.535713676958923,0.368428062911248,0.666662434895942,0.741931607931753,0.919348101214119,0.790317924281489,0.935476873330698,0.93999123264288,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
1,53300000,30516172739,577,"India","Education","Jun","6",815949000,1600000,"2014",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.0203494005836546,0.634781450799355,0.727265889620818,0.425533533826443,0.576920180892143,0.472727798101428,0.741931607931753,0.919348101214119,0.403227393483599,0.935476873330698,0.981472595384838,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
1,52900000,29884657286,216,"United States","Music","Sep","20",528392000,8e+05,"2006",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.783569034654647,0.526315681174103,0.633801886066835,0.590907738115735,0.608690997059981,0.500000030061973,0.741931607931753,0.919348101214119,0.426230744141516,0.935476873330698,0.981472595384838,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,43200000,36458726976,1478,"Russia","Education","May","31",303780000,3e+05,"2011",81.9,144373535,4.59,107683889,61.52401,105.318756,0.712592953350395,0.40001016132153,0.727265889620818,0.549018678523492,0.545450561165042,0.446429557032493,0.741931607931753,0.919348101214119,0.540982961318284,0.999991830025354,0.902429248637268,0.51984119754833,0.400001693694715,0.428572588107754,0.383563261097473,0.389832403236837,0.426230744141516
1,43200000,37939780685,109871,"Pakistan","Entertainment","Jul","11",1.149e+09,9e+05,"2016",9,216565318,4.45,79927762,30.375321,69.345116,0.54878760734573,0.50000040574272,0.472081368233545,0.500000030061973,0.533331219477143,0.547617952510098,0.741931607931753,0.919348101214119,0.790317924281489,0.935476873330698,0.981472595384838,0.5,0.514285662602914,0.428572588107754,0.347828315870446,0.522900682147689,0.531914249130372
1,39700000,23884824160,1596,"United Arab Emirates","People","Nov","6",247731000,3e+05,"2017",36.8,9770529,2.35,8479744,23.424076,53.847818,0.320911680813879,0.999900344606403,0.37778052984104,0.500000031218181,0.576920180892143,0.413045403868973,0.741931607931753,0.919348101214119,0.540982961318284,0.999991830025354,0.902429248637268,0.393444396376725,0.529411356059126,0.418183335273479,0.500000023872834,0.387100468480908,0.531914249130372
1,34000000,3963007415,2284,"Indonesia","Entertainment","Sep","7",547141000,5500000,"2017",36.3,270203917,4.69,151509724,-0.789275,113.921327,0.405159553745762,0.307707224319408,0.472081368233545,0.590907738115735,0.50000009018258,0.413045403868973,0.721307874024633,0.180333135905586,0.540982961318284,0.935476873330698,0.981472595384838,0.393444396376725,0.514285662602914,0.580881770158871,0.383563261097473,0.596272704041445,0.426230744141516
