"target","subscribers","video.views","uploads","Country","channel_type","created_month","created_date","video_views_for_the_last_30_days","subscribers_for_last_30_days","created_year","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude","rgroup","predCountry","predchannel_type","predcreated_month","predcreated_date","predcreated_year","predsubscribers","predvideo.views","preduploads","predvideo_views_for_the_last_30_days","predsubscribers_for_last_30_days","predGross.tertiary.education.enrollment....","predPopulation","predUnemployment.rate","predUrban_population","predLatitude","predLongitude","pred"
0,14800000,1833519700,1481,"United States","Education","May","20",7177000,0,"2006",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.848094942513853,0.526315681174103,0.727265889620818,0.549018678523492,0.608690997059981,0.500000030061973,0.275865961334746,0.100006693611384,0.540982961318284,8.09056912990721e-06,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.034715010709142
1,14800000,9076642765,318,"Brazil","Music","Jul","29",88120000,0,"2008",51.3,212559417,12.08,183241641,-14.235004,-51.92528,0.942691382020712,0.404257390765657,0.633801886066835,0.500000030061973,0.476191687223305,0.529410947424388,0.275865961334746,0.64515897523228,0.426230744141516,0.983863189680435,0.147208121827411,0.476923456921842,0.400001693694715,0.360001888286511,0.383563261097473,0.38596694134097,0.485714512983766,0.22643630028107
1,14800000,15788208522,2222,"United States","People","Mar","24",1.203e+09,1700000,"2021",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.826672454364598,0.526315681174103,0.37778052984104,0.519999632474883,0.50000009018258,0.545450561165042,0.275865961334746,0.693545291582017,0.540982961318284,0.935476873330698,0.981472595384838,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.999999999962393
0,14700000,6751985988,698,"United States","Entertainment","Mar","26",36338000,1e+05,"2006",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.902179984841496,0.526315681174103,0.472081368233545,0.519999632474883,0.519999264964466,0.500000030061973,0.275865961334746,0.393444396376725,0.491803439671098,8.09056912990721e-06,0.411167971854847,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.365365342506139
1,14700000,12362331529,23490,"India","Entertainment","Nov","28",347603000,4e+05,"2013",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.857677181018516,0.634781450799355,0.472081368233545,0.500000031218181,0.500000115947191,0.465117128052292,0.275865961334746,0.786880569554214,0.790317924281489,0.999991830025354,0.93999123264288,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355,0.994539981163908
0,14700000,4684983333,3978,"Brazil","Entertainment","May","27",40975000,1e+05,"2014",51.3,212559417,12.08,183241641,-14.235004,-51.92528,0.967070893617347,0.404257390765657,0.472081368233545,0.549018678523492,0.368428062911248,0.472727798101428,0.275865961334746,0.180333135905586,0.629030203115702,8.09056912990721e-06,0.411167971854847,0.476923456921842,0.400001693694715,0.360001888286511,0.383563261097473,0.38596694134097,0.485714512983766,0.242193398145643
0,14500000,2440718089,0,"Brazil","Music","May","11",0,0,"2013",51.3,212559417,12.08,183241641,-14.235004,-51.92528,0.907499270979315,0.404257390765657,0.633801886066835,0.549018678523492,0.533331219477143,0.465117128052292,0.275865961334746,0.161295811734918,0.501623376623377,0.501623376623377,0.147208121827411,0.476923456921842,0.400001693694715,0.360001888286511,0.383563261097473,0.38596694134097,0.485714512983766,0.0421235604176232
1,14500000,4598387043,18972,"United Kingdom","News","Apr","8",66273000,1e+05,"2006",60,66834405,3.85,55908316,55.378051,-3.435973,0.917996957432479,0.366671165073718,0.789458534991665,0.441861854919109,0.565214626467398,0.500000030061973,0.275865961334746,0.180333135905586,0.790317924281489,0.147546788140795,0.411167971854847,0.370969849250442,0.400001451741784,0.428572588107754,0.347828315870446,0.389832403236837,0.294121715718841,0.243006332631436
1,14500000,4821183481,605,"United States","Music","Jan","16",149241000,4e+05,"2018",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.835572958923876,0.526315681174103,0.633801886066835,0.403510493208481,0.444447620875319,0.666660554178609,0.275865961334746,0.306454760784126,0.491803439671098,0.983863189680435,0.93999123264288,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.952651610797925
1,14500000,10303519926,293516,"India","News","Nov","19",418474000,7e+05,"2018",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.815036650979891,0.634781450799355,0.789458534991665,0.500000031218181,0.400004064772474,0.666660554178609,0.275865961334746,0.786880569554214,0.790317924281489,0.935476873330698,0.981472595384838,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355,0.999834650720595
1,14500000,20042571499,147,"United States","Music","May","12",98185000,0,"2009",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.898551618680358,0.526315681174103,0.633801886066835,0.549018678523492,0.434785514689649,0.666662434895942,0.275865961334746,0.8360600912014,0.467742481949914,0.983863189680435,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093,0.873951781940626
0,14400000,1629801448,399,"Peru","Entertainment","May","20",1002000,0,"2014",70.7,32510453,3.31,25390339,-9.189967,-75.015152,0.94577354635112,0.501623376623377,0.472081368233545,0.549018678523492,0.608690997059981,0.472727798101428,0.275865961334746,0.100006693611384,0.426230744141516,1.00322668871298e-05,0.147208121827411,0.51984119754833,0.529411356059126,0.418183335273479,0.500000023872834,0.596272704041445,0.485714512983766,0.0340529863706785
1,14400000,4156427797,1838,"India","People","Apr","19",70409000,2e+05,"2014",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.825292179360986,0.634781450799355,0.37778052984104,0.441861854919109,0.400004064772474,0.472727798101428,0.275865961334746,0.180333135905586,0.540982961318284,0.147546788140795,0.80519086275992,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355,0.5243438029222
