"target","subscribers","video.views","uploads","Country","channel_type","created_month","created_date","video_views_for_the_last_30_days","subscribers_for_last_30_days","created_year","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude","rgroup","predCountry","predchannel_type","predcreated_month","predcreated_date","predcreated_year","predsubscribers","predvideo.views","preduploads","predvideo_views_for_the_last_30_days","predsubscribers_for_last_30_days","predGross.tertiary.education.enrollment....","predPopulation","predUnemployment.rate","predUrban_population","predLatitude","predLongitude"
0,32100000,13061739758,11882,"Brazil","Entertainment","Feb","12",44505000,0,"2012",51.3,212559417,12.08,183241641,-14.235004,-51.92528,0.194663706002757,0.404257390765657,0.472081368233545,0.54999879061465,0.434785514689649,0.510638106069586,0.721307874024633,0.693545291582017,0.491803439671098,8.09056912990721e-06,0.147208121827411,0.476923456921842,0.400001693694715,0.360001888286511,0.383563261097473,0.38596694134097,0.485714512983766
1,32000000,26800674545,44892,"India","Entertainment","May","19",1.667e+09,1200000,"2006",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.0218247873708606,0.634781450799355,0.472081368233545,0.549018678523492,0.400004064772474,0.500000030061973,0.721307874024633,0.919348101214119,0.790317924281489,0.935476873330698,0.981472595384838,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
0,31800000,6762424690,6734,"Mexico","Howto","Jun","1",31455000,0,"2017",40.2,126014024,3.42,102626859,23.634501,-102.552784,0.3006636868231,0.280008864580482,0.15385952937874,0.425533533826443,0.500000067637874,0.413045403868973,0.721307874024633,0.393444396376725,0.491803439671098,8.09056912990721e-06,0.147208121827411,0.393444396376725,0.375002261091349,0.418183335273479,0.347828315870446,0.387100468480908,0.501976283190093
1,31700000,5711208484,929,"India","Tech","Jun","21",109125000,5e+05,"2012",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.347404231550172,0.634781450799355,0.428576646195031,0.425533533826443,0.391309144097066,0.510638106069586,0.721307874024633,0.306454760784126,0.532257570416229,0.967205482260563,0.93999123264288,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
1,31700000,16476978876,6518,"India","Music","Mar","15",112648000,2e+05,"2012",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.641042911680415,0.634781450799355,0.633801886066835,0.519999632474883,0.59999508141476,0.510638106069586,0.721307874024633,0.8360600912014,0.491803439671098,0.967205482260563,0.80519086275992,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
1,31600000,26583873105,204,"United States","Music","Sep","26",105126000,0,"2009",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.72206486412324,0.526315681174103,0.633801886066835,0.590907738115735,0.519999264964466,0.666662434895942,0.721307874024633,0.919348101214119,0.467742481949914,0.967205482260563,0.147208121827411,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,31400000,22919271731,3589,"United Kingdom","Education","Oct","9",244925000,3e+05,"2013",60,66834405,3.85,55908316,55.378051,-3.435973,0.310036497190595,0.366671165073718,0.727265889620818,0.571427324929495,0.516128564348783,0.465117128052292,0.721307874024633,0.8360600912014,0.629030203115702,0.999991830025354,0.902429248637268,0.370969849250442,0.400001451741784,0.428572588107754,0.347828315870446,0.389832403236837,0.294121715718841
0,31200000,9673649438,65,"Venezuela","Comedy","Dec","16",3589,100,"2018",79.3,28515829,8.8,25162368,6.42375,-66.58973,0.0959831574000418,0.000501122254369008,0.378381709234254,0.386366255843654,0.444447620875319,0.666660554178609,0.721307874024633,0.786880569554214,0.277781922989882,1.00322668871298e-05,0.411167971854847,0.51984119754833,0.529411356059126,0.541665832448837,0.500000023872834,0.596272704041445,0.485714512983766
0,31200000,17111726160,8976,"United States","Comedy","Jan","8",22511000,1e+05,"2006",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.384248585673049,0.526315681174103,0.378381709234254,0.403510493208481,0.565214626467398,0.500000030061973,0.721307874024633,0.8360600912014,0.491803439671098,8.22319923646132e-06,0.411167971854847,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,31200000,6187804950,3027,"Argentina","Games","Feb","17",190679000,1900000,"2015",90,44938712,9.79,41339571,-38.416097,-63.616672,0.535139271523803,0.777747097364362,0.366668915907679,0.54999879061465,0.500000101454698,0.479167134505044,0.721307874024633,0.306454760784126,0.629030203115702,0.983863189680435,0.981472595384838,0.423078433556597,0.529411356059126,0.541665832448837,0.475410265788702,0.777777777777778,0.485714512983766
1,30700000,16793072362,92,"United States","Music","Aug","3",188837000,1e+05,"2009",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.283153955824673,0.526315681174103,0.633801886066835,0.535713676958923,0.50000009018258,0.666662434895942,0.721307874024633,0.8360600912014,0.277781922989882,0.983863189680435,0.411167971854847,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,30700000,12355992466,578,"United States","Entertainment","Nov","27",102998000,2e+05,"2016",88.2,328239523,14.7,270663028,37.09024,-95.712891,0.0476824594661593,0.526315681174103,0.472081368233545,0.500000031218181,0.368428062911248,0.547617952510098,0.721307874024633,0.786880569554214,0.403227393483599,0.967205482260563,0.80519086275992,0.51984119754833,0.514285662602914,0.526315681174103,0.526315681174103,0.522900682147689,0.501976283190093
1,30500000,16709857823,180092,"India","News","Jun","19",461472000,6e+05,"2007",28.1,1366417754,5.36,471031528,20.593684,78.96288,0.310305626364425,0.634781450799355,0.789458534991665,0.425533533826443,0.400004064772474,0.576920180892143,0.721307874024633,0.8360600912014,0.790317924281489,0.935476873330698,0.93999123264288,0.63865431066442,0.634781450799355,0.580881770158871,0.634781450799355,0.596272704041445,0.634781450799355
